reaction_id,reactant_id,product_id,condition,reaction_type,memo,custom_a,custom_b
rxn_091,cmp_078,cmp_081,NaOH,弱塩基の遊離,,False,False
rxn_092,cmp_081,cmp_078,HCl,中和,,False,False
rxn_093,cmp_081,cmp_086,希HCl・NaNO2・0〜5℃,ジアゾ化,,False,False
rxn_094,cmp_086,cmp_030,H2O・5℃以上,加水分解,,False,False
rxn_095,cmp_081,cmp_088,(CH3CO)2O または氷酢酸＋濃H2SO4,アセチル化,,False,False
rxn_096,cmp_086,cmp_089,フェノール＋NaOH・0〜5℃,ジアゾカップリング,共反応物：フェノール,False,False
rxn_097,cmp_022,cmp_079,濃H2SO4,スルホン化,,False,False
rxn_098,cmp_079,cmp_095,NaOH水溶液,中和,,False,False
rxn_099,cmp_095,cmp_082,NaOH(固)・アルカリ融解,アルカリ融解,,False,False
rxn_100,cmp_022,cmp_080,Cl2・Fe触媒,塩素化,,False,False
rxn_101,cmp_080,cmp_082,高温・NaOH水溶液,加水分解,,False,False
rxn_102,cmp_082,cmp_030,CO2,弱酸の遊離,,False,False
rxn_103,cmp_030,cmp_082,NaOH または金属Na,塩形成,,False,False
rxn_104,cmp_082,cmp_083,CO2・高温高圧,カルボキシル化,,False,False
rxn_105,cmp_083,cmp_085,HCl,弱酸の遊離,,False,False
rxn_106,cmp_030,cmp_084,Br2,臭素化,,False,False
rxn_107,cmp_030,cmp_087,濃HNO3・濃H2SO4,ニトロ化,,False,False
rxn_108,cmp_030,cmp_090,(CH3CO)2O,アセチル化,,False,False
rxn_109,cmp_093,cmp_085,KMnO4,側鎖の酸化,,False,False
rxn_110,cmp_085,cmp_091,(CH3CO)2O,アセチル化,,False,False
rxn_111,cmp_085,cmp_092,CH3OH・濃H2SO4,エステル化,,False,False
rxn_112,cmp_022,cmp_068,,アルキル化,,False,False
rxn_113,cmp_068,cmp_067,濃HNO3・濃H2SO4,ニトロ化,途中のモノニトロ体・ジニトロ体は省略,False,False
rxn_114,cmp_006,cmp_036,ギ酸,エステル化,共反応物：ギ酸,False,False
rxn_115,cmp_007,cmp_010,O2・PdCl2＋CuCl2触媒,酸化,ヘキストワッカー法,False,False
rxn_116,cmp_019,cmp_007,H2・Pt触媒,水素付加,,False,False
rxn_117,cmp_006,cmp_013,酢酸,エステル化,共反応物：酢酸,False,True
rxn_118,cmp_013,cmp_006,H2O,加水分解,同時に酢酸も生成,False,True
